seed_sensib,sim_name,annee_sensib,nb_fp,nb_agregats,nb_chateaux,nb_grands_chateaux,nb_eglises,nb_eglises_paroissiales,distance_eglises_sensib,distance_eglises_paroissiales_sensib,prop_fp_isoles_sensib,ratio_charge_fiscale_sensib,sensibility_parameter,sensibility_value
"0.8258612144346384",6_5_1_SensibAna,"1200",10000,172,45,10,223,191,2536,2680,0.3612,2.3313,init_nb_total_fp,"10000"
"0.8258612144346384",6_5_1_SensibAna,"1200",10000,165,51,15,220,182,2478,2663,0.355,2.3521,init_nb_total_fp,"10000"
"0.2478884420617895",6_5_1_SensibAna,"1200",10000,179,54,14,234,210,2590,2634,0.3538,2.4003,init_nb_total_fp,"10000"
"0.2478884420617895",6_5_1_SensibAna,"1200",10000,151,37,12,221,179,2330,2480,0.3907,2.358,init_nb_total_fp,"10000"
"0.491492437297228",6_5_1_SensibAna,"1200",10000,159,46,12,218,184,2362,2695,0.3878,2.3789,init_nb_total_fp,"10000"
"0.491492437297228",6_5_1_SensibAna,"1200",10000,168,49,12,213,181,2558,2866,0.3628,2.3505,init_nb_total_fp,"10000"
"0.5993497946699742",6_5_1_SensibAna,"1200",10000,172,52,13,214,191,2559,2777,0.3478,2.3427,init_nb_total_fp,"10000"
"0.5478543414644743",6_5_1_SensibAna,"1200",10000,159,42,12,218,178,2697,3017,0.3805,2.3967,init_nb_total_fp,"10000"
"0.5478543414644743",6_5_1_SensibAna,"1200",10000,157,46,11,211,185,2364,2698,0.3865,2.3339,init_nb_total_fp,"10000"
"0.5993497946699742",6_5_1_SensibAna,"1200",10000,163,54,14,212,183,2421,2639,0.3697,2.4245,init_nb_total_fp,"10000"
"0.7432597182719259",6_5_1_SensibAna,"1200",10000,170,49,8,213,181,2700,2980,0.3642,2.3514,init_nb_total_fp,"10000"
"0.7432597182719259",6_5_1_SensibAna,"1200",10000,172,44,9,219,188,2692,2897,0.3609,2.3097,init_nb_total_fp,"10000"
"0.44591720289323566",6_5_1_SensibAna,"1200",10000,166,50,12,216,175,2696,3121,0.3671,2.3858,init_nb_total_fp,"10000"
"0.44591720289323566",6_5_1_SensibAna,"1200",10000,170,45,17,233,205,2214,2350,0.3565,2.3674,init_nb_total_fp,"10000"
"0.5655151727801228",6_5_1_SensibAna,"1200",10000,172,44,13,206,179,2638,2988,0.3626,2.3014,init_nb_total_fp,"10000"
"0.5655151727801228",6_5_1_SensibAna,"1200",10000,169,50,11,228,193,2470,2762,0.3852,2.3021,init_nb_total_fp,"10000"
"0.6874589999432693",6_5_1_SensibAna,"1200",10000,168,54,16,212,185,2751,2886,0.3448,2.3885,init_nb_total_fp,"10000"
"0.6874589999432693",6_5_1_SensibAna,"1200",10000,159,39,4,222,191,2638,2845,0.3736,2.3016,init_nb_total_fp,"10000"
"0.605245099748972",6_5_1_SensibAna,"1200",10000,173,49,11,219,193,2509,2642,0.3572,2.4064,init_nb_total_fp,"10000"
"0.605245099748972",6_5_1_SensibAna,"1200",10000,166,53,10,221,190,2334,2553,0.3768,2.4123,init_nb_total_fp,"10000"
"0.7534691656025813",6_5_1_SensibAna,"1200",25000,218,55,15,282,260,1836,1918,0.3364,2.43004,init_nb_total_fp,"25000"
"0.7534691656025813",6_5_1_SensibAna,"1200",25000,206,59,16,264,242,1997,2071,0.32484,2.42512,init_nb_total_fp,"25000"
"0.05953326623058852",6_5_1_SensibAna,"1200",25000,212,64,18,289,271,1815,1862,0.3154,2.4456,init_nb_total_fp,"25000"
"0.05953326623058852",6_5_1_SensibAna,"1200",25000,220,50,13,304,278,1890,1941,0.32716,2.28436,init_nb_total_fp,"25000"
"0.4890265447431551",6_5_1_SensibAna,"1200",25000,222,43,16,292,268,1977,2101,0.32816,2.34664,init_nb_total_fp,"25000"
"0.4890265447431551",6_5_1_SensibAna,"1200",25000,222,43,10,302,280,1728,1802,0.33144,2.30308,init_nb_total_fp,"25000"
"0.1812408097238909",6_5_1_SensibAna,"1200",25000,231,55,16,298,281,1930,1945,0.31132,2.37448,init_nb_total_fp,"25000"
"0.1812408097238909",6_5_1_SensibAna,"1200",25000,226,51,10,352,334,1414,1402,0.31684,2.3986,init_nb_total_fp,"25000"
"0.9825472927040954",6_5_1_SensibAna,"1200",25000,232,46,14,298,278,1634,1672,0.3266,2.36212,init_nb_total_fp,"25000"
"0.9825472927040954",6_5_1_SensibAna,"1200",25000,236,54,16,290,273,1936,2037,0.30912,2.34676,init_nb_total_fp,"25000"
"0.49877995231651195",6_5_1_SensibAna,"1200",25000,231,49,16,300,285,1865,1910,0.31296,2.34184,init_nb_total_fp,"25000"
"0.49877995231651195",6_5_1_SensibAna,"1200",25000,231,43,13,292,277,1949,1980,0.31016,2.23792,init_nb_total_fp,"25000"
"0.6708119346757466",6_5_1_SensibAna,"1200",25000,218,52,13,275,262,1891,1963,0.33148,2.42,init_nb_total_fp,"25000"
"0.6708119346757466",6_5_1_SensibAna,"1200",25000,214,53,16,290,268,1967,2064,0.3168,2.31856,init_nb_total_fp,"25000"
"0.2606649707801728",6_5_1_SensibAna,"1200",25000,216,43,15,284,265,1842,1928,0.33312,2.28524,init_nb_total_fp,"25000"
"0.2606649707801728",6_5_1_SensibAna,"1200",25000,210,39,14,298,279,1639,1631,0.34104,2.35284,init_nb_total_fp,"25000"
"0.47334704409741657",6_5_1_SensibAna,"1200",25000,247,54,13,328,314,1631,1670,0.3056,2.34184,init_nb_total_fp,"25000"
"0.47334704409741657",6_5_1_SensibAna,"1200",25000,221,52,18,285,265,1725,1758,0.32112,2.31084,init_nb_total_fp,"25000"
"0.6340599786500687",6_5_1_SensibAna,"1200",25000,212,46,13,278,256,1848,1960,0.3326,2.32416,init_nb_total_fp,"25000"
"0.6340599786500687",6_5_1_SensibAna,"1200",25000,206,41,10,301,279,1716,1785,0.33692,2.35916,init_nb_total_fp,"25000"
"0.964724638349227",6_5_1_SensibAna,"1200",40000,188,49,16,324,271,802,712,0.124225,2.72705,taille_cote_monde,"50"
"0.964724638349227",6_5_1_SensibAna,"1200",40000,197,52,19,331,273,877,820,0.121125,2.87075,taille_cote_monde,"50"
"0.1279844607640318",6_5_1_SensibAna,"1200",40000,217,42,9,338,278,830,845,0.11985,2.703725,taille_cote_monde,"50"
"0.1279844607640318",6_5_1_SensibAna,"1200",40000,206,50,19,349,284,835,728,0.117175,2.72765,taille_cote_monde,"50"
"0.8353687343184512",6_5_1_SensibAna,"1200",40000,221,52,17,370,310,780,735,0.106,2.697775,taille_cote_monde,"50"
"0.8353687343184512",6_5_1_SensibAna,"1200",40000,199,51,20,337,279,817,750,0.11375,2.71095,taille_cote_monde,"50"
