seed_sensib,sim_name,annee_sensib,nb_fp,nb_agregats,nb_chateaux,nb_grands_chateaux,nb_eglises,nb_eglises_paroissiales,distance_eglises_sensib,distance_eglises_paroissiales_sensib,prop_fp_isoles_sensib,ratio_charge_fiscale_sensib,sensibility_parameter,sensibility_value
"0.395023541521912",6_5_1_SensibAna,"1200",40000,802,48,15,459,418,1641,1711,0.0155,2.20715,distance_detection_agregat,"300"
"0.395023541521912",6_5_1_SensibAna,"1200",40000,785,54,20,458,410,1646,1715,0.01755,2.209025,distance_detection_agregat,"300"
"0.18113686677949103",6_5_1_SensibAna,"1200",40000,796,51,15,453,408,1585,1662,0.02025,2.214175,distance_detection_agregat,"300"
"0.18113686677949103",6_5_1_SensibAna,"1200",40000,804,47,13,451,409,1513,1537,0.017375,2.186175,distance_detection_agregat,"300"
"0.7279685344208906",6_5_1_SensibAna,"1200",40000,809,42,11,464,427,1556,1545,0.01735,2.1601,distance_detection_agregat,"300"
"0.7279685344208906",6_5_1_SensibAna,"1200",40000,802,53,16,440,402,1583,1628,0.0174,2.21475,distance_detection_agregat,"300"
"0.7050780458184387",6_5_1_SensibAna,"1200",40000,807,52,21,446,399,1648,1743,0.01695,2.2383,distance_detection_agregat,"300"
"0.7050780458184387",6_5_1_SensibAna,"1200",40000,799,42,10,468,425,1572,1631,0.0167,2.189125,distance_detection_agregat,"300"
"0.34534326205963906",6_5_1_SensibAna,"1200",40000,820,53,18,453,412,1540,1581,0.015,2.2565,distance_detection_agregat,"300"
"0.34534326205963906",6_5_1_SensibAna,"1200",40000,824,39,10,448,410,1527,1596,0.017825,2.20345,distance_detection_agregat,"300"
"0.9141056844764808",6_5_1_SensibAna,"1200",40000,815,46,10,441,403,1672,1760,0.015825,2.172125,distance_detection_agregat,"300"
"0.9141056844764808",6_5_1_SensibAna,"1200",40000,833,54,17,462,426,1576,1614,0.01625,2.237775,distance_detection_agregat,"300"
"0.6231474608740166",6_5_1_SensibAna,"1200",40000,802,56,12,462,417,1563,1636,0.015725,2.205,distance_detection_agregat,"300"
"0.6231474608740166",6_5_1_SensibAna,"1200",40000,816,53,16,461,413,1542,1606,0.015975,2.221225,distance_detection_agregat,"300"
"0.9425770120518433",6_5_1_SensibAna,"1200",40000,805,53,15,461,423,1652,1690,0.01555,2.1737,distance_detection_agregat,"300"
"0.9425770120518433",6_5_1_SensibAna,"1200",40000,783,49,13,428,386,1627,1685,0.01825,2.236175,distance_detection_agregat,"300"
"0.602070003663509",6_5_1_SensibAna,"1200",40000,831,54,14,464,423,1541,1592,0.018375,2.210975,distance_detection_agregat,"300"
"0.602070003663509",6_5_1_SensibAna,"1200",40000,791,45,14,480,427,1483,1548,0.016875,2.2069,distance_detection_agregat,"300"
"0.9598689689413962",6_5_1_SensibAna,"1200",40000,815,44,16,458,416,1604,1640,0.01625,2.2018,distance_detection_agregat,"300"
"0.9598689689413962",6_5_1_SensibAna,"1200",40000,804,42,15,463,420,1623,1676,0.01515,2.19585,distance_detection_agregat,"300"
